año,genres,horas
2000,1980s,285130.9666666667
2012,1980s,44311.36666666667
2013,1980s,20704.316666666666
2003,1980s,13442.183333333332
2015,1980s,13037.199999999999
2014,1980s,3093.65
2016,1980s,1133.4333333333334
1988,1980s,266.68333333333334
1987,1980s,124.61666666666666
2006,1980s,61.48333333333334
1989,1980s,60.0
1983,1980s,57.88333333333333
2017,1980s,19.083333333333332
2000,1990's,285130.9666666667
1998,1990's,44182.433333333334
2013,1990's,24988.466666666667
1999,1990's,16008.733333333334
2015,1990's,13037.199999999999
2004,1990's,8080.933333333333
2001,1990's,7280.633333333333
1997,1990's,5970.583333333333
1993,1990's,3047.7166666666667
2011,1990's,2882.4166666666665
2009,1990's,2132.9666666666667
2007,1990's,1522.65
1995,1990's,1290.6666666666667
2014,1990's,1170.4666666666667
1994,1990's,1102.7666666666667
2012,1990's,962.3833333333333
2010,1990's,559.3666666666667
1996,1990's,494.4166666666667
1990,1990's,304.43333333333334
1992,1990's,282.93333333333334
2016,1990's,182.2
1987,1990's,124.61666666666666
2006,1990's,61.48333333333334
1991,1990's,12.216666666666667
1989,1990's,0.3333333333333332
2014,2.5D,57575.76666666666
2015,2.5D,25690.75
2013,2.5D,25663.8
2012,2.5D,21344.116666666665
2016,2.5D,13259.316666666666
2009,2.5D,6028.866666666667
1995,2.5D,1290.6666666666667
2011,2.5D,1246.6666666666667
1994,2.5D,1102.7666666666667
2008,2.5D,252.85
2017,2.5D,12.399999999999999
2011,2D,2549960.7333333334
2015,2D,549798.65
2016,2D,462638.48333333334
2014,2D,425255.8
2012,2D,331505.0833333333
2013,2D,208546.03333333333
2017,2D,107534.05
2009,2D,57496.9
2010,2D,40425.816666666666
1998,2D,6303.133333333333
1997,2D,5970.583333333333
1999,2D,4781.633333333333
2007,2D,4670.933333333333
2008,2D,4251.233333333334
2006,2D,3635.733333333333
2001,2D,3113.9333333333334
2002,2D,2935.55
1996,2D,494.4166666666667
1990,2D,304.43333333333334
1988,2D,232.7
2004,2D,204.64999999999998
1995,2D,71.66666666666666
1994,2D,32.3
1992,2D,19.400000000000002
1989,2D,0.3333333333333332
2017,2D Fighter,107534.05
2014,2D Fighter,57575.76666666666
2015,2D Fighter,25690.75
2013,2D Fighter,25663.8
2016,2D Fighter,13259.316666666666
2009,2D Fighter,6028.866666666667
2012,2D Fighter,2570.7666666666664
2006,2D Fighter,149.01666666666665
2010,3D Platformer,27596.716666666667
2005,3D Platformer,16296.816666666666
2011,3D Platformer,12141.1
2012,3D Platformer,6216.033333333333
2014,3D Platformer,6113.233333333334
2015,3D Platformer,2703.0666666666666
2013,3D Platformer,1356.4
2009,3D Platformer,1257.9
2016,3D Platformer,495.71666666666664
2017,3D Platformer,426.3
1997,3D Platformer,166.05
1999,3D Platformer,33.833333333333336
2010,3D Vision,222636.15
2013,3D Vision,89610.66666666667
2012,3D Vision,87004.56666666667
2014,3D Vision,57575.76666666666
