genres,app_name,price,item_id,developer,año
"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",Lost Summoner Kitty,4.99,761140,Kotoshiro,2018
"['Free to Play', 'Indie', 'RPG', 'Strategy', 'Card Game', 'Trading Card Game', 'Turn-Based', 'Fantasy', 'Tactical', 'Dark Fantasy', 'Board Game', 'PvP', '2D', 'Competitive', 'Replay Value', 'Character Customization', 'Female Protagonist', 'Difficult', 'Design & Illustration']",Ironbound,0.0,643980,Secret Level SRL,2018
"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports', 'Multiplayer']",Real Pool 3D - Poolians,0.0,670290,Poolians.com,2017
"['Action', 'Adventure', 'Casual']",弹炸人2222,0.99,767400,彼岸领域,2017
"['Action', 'Adventure', 'Simulation', 'FPS', 'Shooter', 'Third-Person Shooter', 'Sniper', 'Third Person']",Battle Royale Trainer,3.99,772540,Trickjump Games Ltd,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Basic Pass,9.99,774276,Poppermost Productions,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Pro Pass,18.99,774277,Poppermost Productions,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Legend Pass,29.99,774278,Poppermost Productions,2018
"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,10.99,770380,Stegalosaurus Game Development,2018
"['Casual', 'Indie', 'Pixel Graphics', 'Cute', '2D']",Beach Rules,3.99,768880,Copperpick Studio,2018
"['Casual', 'Indie', 'Simulation']",Planetarium 2 - Zen Odyssey,2.99,765320,Ghulam Jewel,2018
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy', 'Physics', 'Science']",The first thrust of God,1.59,773650,Apillo,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Starter Pack,14.99,774271,Poppermost Productions,2018
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy', 'Physics', 'Science']",The first thrust of God - All Aircrafts,1.99,773690,Apillo,2018
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Lifetime Pack,59.99,774279,Poppermost Productions,2018
"['Action', 'Adventure', 'Indie']",The Warrior Of Treasures,0.99,768060,Tero Lunkka,2018
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - Canyon Scenario,2.99,775880,FrozenPepper,2017
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - F-53B,2.99,775881,FrozenPepper,2017
"['Action', 'Indie']",DinoBlaster,4.99,653960,Casey Labrack,2018
"['Action', 'Indie', 'Racing', 'Classic', 'Gore', ""1990's"", 'Multiplayer', 'Singleplayer']",Carmageddon Max Pack,9.99,282010,Stainless Games Ltd,1997
"['Action', 'FPS', 'Classic', 'Sci-fi', 'Singleplayer', 'Shooter', 'Aliens', 'First-Person', 'Multiplayer', ""1990's"", 'Story Rich', 'Adventure', 'Atmospheric', 'Silent Protagonist', 'Great Soundtrack', 'Moddable', 'Linear', 'Retro', 'Difficult', 'Funny']",Half-Life,9.99,70,Valve,1998
"['Action', 'Indie', 'RPG']",Fallen Mage,1.99,752360,dev4play,2016
"['Casual', 'Indie', 'Simulation']",Vaporwave Simulator,0.99,766850,ETGgames,2018
"['Action', 'Adventure', 'RPG']",Underdone - Soundtrack,8.99,754360,The Commander,2018
"['Adventure', 'Casual', 'Indie', 'RPG', 'Clicker']",Bitcoin Clicker,0.99,716110,"lalalaZero,Urbanoff",2018
"['Strategy', 'Turn-Based Strategy', 'Classic', 'Atmospheric', 'Dark Fantasy', 'Turn-Based', 'Fantasy', 'Tactical', 'RPG', 'Gothic', 'Great Soundtrack', 'Multiplayer', 'Isometric']",Disciples II: Gallean's Return,6.99,1640,Strategy First,2006
"['Strategy', 'Turn-Based Strategy', 'Fantasy', 'Turn-Based', 'Classic', 'RPG', 'Dark Fantasy', 'Atmospheric']",Disciples II: Rise of the Elves,6.99,1630,Strategy First,2006
"['Action', 'Indie', 'RPG', 'Multiplayer', 'First-Person', 'Stealth', 'Mystery', 'Assassin', 'Funny', 'Survival', 'Simulation', 'Singleplayer', 'FPS', 'Strategy', 'Comedy', 'Adventure', 'Shooter', 'Difficult', 'Replay Value', 'Stylized']",The Ship: Murder Party,9.99,2400,Outerlight Ltd.,2006
"['Action', 'Indie', 'Strategy', 'Early Access', 'Pixel Graphics']",Souland,7.99,759920,Ultraint,2017
"['Action', 'Adventure', 'Indie', 'RPG']",TAROTICA VOO DOO,10.99,603280,TPM.CO SOFT WORKS,2017
"['Casual', 'Strategy', 'Early Access', 'City Builder', 'Building', 'Economy', 'Base Building']",Chronicles of Vinland,9.99,753110,Wonderbox Games,2017
