año,developer,count
2017.0,Smartly Dressed Games,1050
2017.0,Freejam,346
2017.0,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",311
2016.0,Chucklefish,351
2016.0,Reto-Moto,242
2016.0,Hello Games,181
2015.0,Rockstar North,326
2015.0,"Psyonix, Inc.",285
2015.0,tobyfox,230
2014.0,Edge of Reality,375
2014.0,Coffee Stain Studios,281
2014.0,New World Interactive,225
2013.0,Bohemia Interactive,1039
2013.0,Facepunch Studios,815
2013.0,Digital Extremes,598
2012.0,Valve,3759
2012.0,"Gearbox Software,Aspyr (Mac &amp; Linux)",565
2012.0,Daybreak Game Company,363
2011.0,Re-Logic,741
2011.0,Valve,374
2011.0,No More Room in Hell Team,293
2010.0,"Firaxis Games,Aspyr (Mac, Linux)",339
2010.0,TaleWorlds Entertainment,212
2010.0,Obsidian Entertainment,192
2009.0,Valve,752
2009.0,Tripwire Interactive,334
2009.0,Invent4 Entertainment,106
2008.0,Treyarch,52
2008.0,Dylan Fitterer,40
2008.0,Maxis™,38
2007.0,Valve,3858
2007.0,"2K Boston,2K Australia",71
2007.0,Zombie Panic Team,35
2006.0,Facepunch Studios,1735
2006.0,Nabi Studios,86
2006.0,Relic Entertainment,47
2005.0,Pandemic Studios,102
2005.0,Rockstar Games,39
2005.0,Synergy Team,28
2004.0,Valve,486
2004.0,The Creative Assembly,18
2004.0,"Epic Games, Inc.",6
2003.0,Running With Scissors,90
2003.0,"BioWare,Aspyr (Mac)",27
2003.0,"Raven Software,Aspyr (Mac)",17
2002.0,Bethesda Game Studios,16
2002.0,Rockstar Games,8
2002.0,FireFly Studios,5
2001.0,Firaxis Games,5
2001.0,Gearbox Software,5
2001.0,Remedy Entertainment,4
2000.0,Valve,67
2000.0,Ion Storm,17
2000.0,Rebellion,6
1999.0,Sven Co-op Team,29
1999.0,Valve,17
1999.0,"Irrational Games,Looking Glass Studios",7
1998.0,Valve,62
1998.0,Black Isle Studios,10
1998.0,Looking Glass Studios,6
1997.0,Oddworld Inhabitants,18
1997.0,Interplay Inc.,7
1997.0,Cavedog Entertainment,5
1996.0,Cyberdreams,3
1996.0,Humongous Entertainment,2
1996.0,Gremlin Interactive,1
1995.0,id Software,9
1995.0,LucasArts,5
1995.0,Team17 Digital Ltd,1
1994.0,id Software,9
1994.0,Humongous Entertainment,2
1994.0,Totally Games,2
1993.0,"MicroProse Software, Inc",3
1993.0,Gremlin Interactive,1
1993.0,Humongous Entertainment,1
1992.0,3D Realms (Apogee Software),1
1992.0,Humongous Entertainment,1
1992.0,Redwood Games,1
1991.0,3D Realms (Apogee Software),1
1990.0,id Software,4
1990.0,LucasArts,1
1989.0,"MicroProse Software, Inc",1
